Text,Label
The,O
Town,O
of,O
Malta,O
Planning,O
Board,O
held,O
its,O
regular,O
meeting,O
on,O
"Tuesday,",O
February,O
28,O
",",O
2023,O
at,O
6:30,O
p.m.,O
at,O
the,O
Malta,O
Town,O
"Hall,",O
with,O
Co,O
"-Chairperson,",O
Jean,O
Loewenstein,O
presiding:,O
Present:,B-PRESENT
Dwight,B-PRESENT
Havens,I-PRESENT
Stephen,B-PRESENT
Grandeau,I-PRESENT
Ronald,B-PRESENT
Bormann,I-PRESENT
William,B-PRESENT
Smith,I-PRESENT
Jean,B-PRESENT
Loewenstein,I-PRESENT
Leejun,B-PRESENT
Taylor,I-PRESENT
Frank,B-PRESENT
Mazza,I-PRESENT
Absent:,B-ABSENT
John,B-ABSENT
Viola,I-ABSENT
Kyle,B-ABSENT
Kordich,I-ABSENT
Correspondence:,O
All,O
correspondence,O
is,O
on,O
file.,O
Co-Chairperson,O
Loewenstein,O
read,O
the,O
following,O
agenda,O
into,O
the,O
minutes:,O
Project,O
#,O
Project,O
Name,O
Project,O
Type,O
23-03,B-PROJ
Dooley/Bass,I-PROJ
Manor,I-PROJ
Minor,I-PROJ
Subdivision,I-PROJ
23-02,B-PROJ
Sanctuary,I-PROJ
Salon,I-PROJ
Project,I-PROJ
Plan,I-PROJ
22-25,B-PROJ
Arnoff,I-PROJ
Global,I-PROJ
Logistics,I-PROJ
Phase,I-PROJ
#6,I-PROJ
Site,I-PROJ
Plan,I-PROJ
Amendment,I-PROJ
22-20,B-PROJ
Retrograde,I-PROJ
Recon,I-PROJ
Center,I-PROJ
Site,I-PROJ
Plan,I-PROJ
Chairperson,O
Loewenstein,O
appointed,O
William,O
Smith,O
and,O
Leejun,O
Taylor,O
as,O
full,O
members.,O
"23-03,",B-PROJ
Dooley/Bass,I-PROJ
Manor,I-PROJ
",",I-PROJ
Minor,I-PROJ
Subdivision,I-PROJ
Public,I-PROJ
Hearing,I-PROJ
The,O
applicant,O
is,O
requesting,O
approval,O
for,O
a,O
minor,O
SD,O
to,O
create,O
a,O
total,O
of,O
2,O
lots,O
at,O
30,O
Route,O
9P.,O
As,O
it,O
"stands,",O
the,O
existing,O
parcel,O
is,O
7.54±,O
acres.,O
As,O
noted,O
on,O
the,O
proposed,O
subdivision,O
"map,",O
the,O
applicant,O
is,O
proposing,O
to,O
split,O
the,O
existing,O
parcel,O
into,O
lots,O
2A,O
and,O
2B.,O
Lot,O
2A,O
would,O
be,O
a,O
buildable,O
3.005±,O
acre,O
lot,O
with,O
200ft,O
of,O
road,O
frontage.,O
Lot,O
2B,O
would,O
be,O
a,O
4.538±,O
acre,O
lot,O
with,O
268.41ft,O
of,O
road,O
frontage.,O
Lot,O
2B,O
would,O
also,O
contain,O
the,O
existing,O
Bass,O
Manor,O
Bed,O
&,O
Breakfast.,O
30,O
Route,O
9P,O
was,O
previously,O
subdivided,O
in,O
2009,O
Lot,O
2B,O
would,O
also,O
include,O
a,O
public,O
water,O
and,O
sewer,O
access,O
from,O
Admiral’s,O
Way,O
to,O
the,O
East,O
of,O
the,O
property.,O
Cassandra,O
Dooley,O
presented,O
her,O
proposal,O
for,O
a,O
two,O
-2,O
lot,O
Minor,O
Subdivision,O
of,O
her,O
property,O
at,O
30,O
NYS,O
Route,O
9P,O
to,O
the,O
Planning,O
Board.,O
Cattell,O
spoke,O
for,O
the,O
Planning,O
Department.,O
He,O
noted,O
that,O
the,O
subdivision,O
would,O
change,O
one,O
-1,O
lot,O
into,O
two,O
-2,O
"lots,",O
one,O
(Lot,O
2A),O
would,O
be,O
3,O
acres,O
and,O
the,O
second,O
(Lot,O
2B),O
would,O
be,O
4.54,O
acres.,O
Cattell,O
also,O
noted,O
that,O
Lot,O
2A,O
would,O
have,O
200,O
feet,O
of,O
road,O
frontage,O
and,O
Lot,O
2B,O
would,O
have,O
268.41,O
feet,O
of,O
road,O
frontage.,O
Cattell,O
stated,O
for,O
the,O
Board,O
that,O
a,O
Letter,O
of,O
No,O
Impact,O
was,O
received,O
from,O
the,O
NYS,O
Office,O
of,O
"Parks,",O
"Recreation,",O
and,O
Historical,O
Preservation,O
to,O
confirm,O
that,O
nothing,O
of,O
interest,O
was,O
found,O
on,O
the,O
"site,",O
despite,O
the,O
site,O
being,O
in,O
a,O
known,O
archeologically,O
sensitive,O
area.,O
Cattell,O
also,O
stated,O
that,O
at,O
the,O
time,O
of,O
the,O
Planning,O
Board,O
"meeting,",O
no,O
building,O
permits,O
had,O
been,O
submitted,O
to,O
the,O
Building,O
Department,O
for,O
new,O
construction,O
on,O
Lot,O
2B.,O
Cattell,O
stated,O
there,O
should,O
be,O
no,O
issues,O
building,O
a,O
structure,O
on,O
the,O
new,O
lot,O
because,O
the,O
proposed,O
lot,O
was,O
zoning,O
compliant,O
with,O
more,O
than,O
enough,O
acerage,O
to,O
fit,O
a,O
single,O
family,O
home.,O
Cattell,O
recommended,O
that,O
the,O
Planning,O
Board,O
find,O
the,O
project,O
consistent,O
with,O
the,O
Supplemental,O
T,O
own-wide,O
GEIS,O
and,O
Statement,O
of,O
Findings,O
with,O
regards,O
to,O
SEQRA.,O
Loewenstein,O
asked,O
Hull,O
if,O
the,O
project,O
had,O
been,O
submitted,O
for,O
Engineering,O
Review.,O
Hull,O
confirmed,O
that,O
it,O
had,O
not,O
been,O
submitted,O
and,O
stated,O
that,O
since,O
the,O
project,O
was,O
small,O
it,O
would,O
not,O
need,O
to,O
be,O
reviewed,O
by,O
Engineering.,O
Everhart,O
asked,O
Cattell,O
to,O
confirm,O
the,O
Planning,O
recommendation,O
on,O
SEQRA.,O
Cattell,O
restated,O
that,O
Planning,O
felt,O
the,O
project,O
was,O
consistent,O
with,O
the,O
Supplemental,O
T,O
own-wide,O
GEIS,O
and,O
Statement,O
of,O
Findings.,O
BOARD,O
DISCUSSION,O
Smith,O
asked,O
Dooley,O
if,O
the,O
project,O
would,O
be,O
connected,O
to,O
Public,O
water,O
and,O
sewer.,O
Dooley,O
said,O
she,O
thought,O
so,O
based,O
on,O
the,O
easement,O
being,O
noted,O
on,O
the,O
Subdivision,O
map.,O
Taylor,O
asked,O
Dooley,O
if,O
she,O
would,O
be,O
creating,O
noise,O
deadening,O
measures,O
for,O
Lot,O
2B,O
due,O
to,O
the,O
nearby,O
Albany-Saratoga,O
Speedway.,O
Dooley,O
noted,O
that,O
she,O
felt,O
the,O
issue,O
would,O
be,O
up,O
to,O
the,O
Town,O
to,O
decide,O
if,O
such,O
measures,O
would,O
be,O
enacted,O
and,O
what,O
they,O
would,O
encompass.,O
Cattell,O
commented,O
that,O
since,O
the,O
Speedway,O
was,O
a,O
special,O
case,O
with,O
a,O
precedent,O
set,O
and,O
being,O
an,O
active,O
business,O
"nearby,",O
the,O
conditions,O
created,O
by,O
the,O
Speedway,O
would,O
be,O
something,O
prospective,O
owners,O
would,O
need,O
to,O
tolerate.,O
Dooley,O
noted,O
the,O
Speedway,O
issues,O
"further,",O
mentioning,O
the,O
environmental,O
impact,O
of,O
the,O
Speedway,O
creating,O
heavy,O
clay,O
"dust,",O
how,O
it,O
permeates,O
the,O
"air,",O
and,O
its,O
effect,O
on,O
people.,O
Hull,O
not,O
ed,O
for,O
the,O
Board,O
that,O
despite,O
the,O
applicant’s,O
concerns,O
about,O
the,O
Speedway,O
on,O
the,O
"environment,",O
a,O
SEQRA,O
determination,O
w,O
ould,O
be,O
bas,O
ed,O
on,O
how,O
the,O
Subdivision,O
w,O
ould,O
affect,O
the,O
"environment,",O
not,O
how,O
outside,O
factors,O
would,O
affect,O
the,O
Subdivision,O
project.,O
Hull,O
also,O
not,O
ed,O
that,O
perspective,O
buyers,O
wo,O
uld,O
need,O
to,O
be,O
inform,O
ed,O
of,O
the,O
Speedway,O
and,O
the,O
conditions,O
creat,O
ed,O
by,O
it.,O
PUBLIC,O
HEARING,O
Loewenstei,O
n,O
ope,O
ned,O
the,O
Pub,O
lic,O
Hearing,O
at,O
6:41,O
Loewenstei,O
n,O
clos,O
ed,O
the,O
Public,O
Hearing,O
at,O
6:42,O
Resolution,O
#2023,O
–,O
2,O
SEQRA,O
MOTION,O
by,O
Jean,O
Loewenstein,O
SECONDED,O
by,O
Stephen,O
Grandeau,O
to,O
resolve,O
that,O
the,O
Malta,O
Planning,O
Board,O
on,O
the,O
28th,O
day,O
of,O
"February,",O
2023,O
determines,O
that,O
Project,O
"#23-03,",O
Dooley/Bass,O
"Manor,",O
Minor,O
Subdivision,O
is,O
consistent,O
with,O
the,O
Supplemental,O
Town,O
Wide,O
GEIS,O
and,O
Statement,O
of,O
Findings,O
and,O
therefore,O
no,O
further,O
SEQRA,O
review,O
is,O
required.,O
VOTE:,B-VOTE
Stephen,B-VOTE
Grandeau,I-VOTE
–,I-VOTE
YES,I-VOTE
Ronald,B-VOTE
Bormann,I-VOTE
–,I-VOTE
YES,I-VOTE
Dwight,B-VOTE
Havens,I-VOTE
–,I-VOTE
YES,I-VOTE
William,B-VOTE
Smith,I-VOTE
–,I-VOTE
YES,I-VOTE
Leejun,B-VOTE
Taylor,I-VOTE
–,I-VOTE
YES,I-VOTE
Jean,B-VOTE
Loewenstein,I-VOTE
-,I-VOTE
YES,I-VOTE
Motion,B-VOTE
CARRIED,I-VOTE
6-0,I-VOTE
Prior,O
to,O
the,O
resolution,O
being,O
voted,O
upon,O
to,O
approve/disapprove,O
Project,O
"#23-03,",O
Dooley/Bass,O
Manor,O
Minor,O
"Subdivision,",O
Board,O
member,O
Smith,O
requested,O
that,O
a,O
condition,O
be,O
placed,O
on,O
the,O
approval,O
stating,O
that,O
at,O
the,O
time,O
of,O
"sale,",O
the,O
noise,O
and,O
dust,O
emanating,O
from,O
the,O
Albany-Saratoga,O
Speedway,O
and,O
its,O
effect,O
on,O
the,O
property,O
in,O
question,O
be,O
recorded,O
in,O
the,O
deed.,O
Dooley,O
stated,O
for,O
the,O
Board,O
that,O
she,O
felt,O
it,O
was,O
unnecessary,O
to,O
include,O
this,O
in,O
her,O
deed,O
at,O
the,O
time,O
of,O
sale.,O
Smith,O
noted,O
for,O
Dooley,O
that,O
he,O
felt,O
this,O
condition,O
should,O
exist,O
in,O
order,O
to,O
protect,O
the,O
Town,O
due,O
to,O
the,O
dust,O
and,O
noise,O
created,O
by,O
the,O
Speedway,O
being,O
something,O
a,O
future,O
owner,O
may,O
not,O
like.,O
Dooley,O
asked,O
Smith,O
if,O
other,O
properties,O
nearby,O
were,O
required,O
to,O
include,O
a,O
clause,O
in,O
their,O
deeds,O
at,O
the,O
time,O
of,O
sale,O
about,O
the,O
Speedway,O
being,O
nearby.,O
Smith,O
stated,O
that,O
he,O
was,O
unable,O
to,O
answer,O
her,O
question.,O
Dooley,O
restated,O
that,O
she,O
felt,O
it,O
was,O
unnecessary,O
for,O
her,O
to,O
do,O
this,O
and,O
asked,O
why,O
the,O
Board,O
felt,O
she,O
should,O
when,O
according,O
to,O
her,O
knowledge,O
the,O
property,O
across,O
the,O
road,O
from,O
her,O
did,O
not,O
have,O
to,O
inform,O
the,O
buyer,O
of,O
that,O
property,O
at,O
the,O
time,O
of,O
sale.,O
Grandeau,O
stated,O
for,O
Dooley,O
that,O
the,O
Board,O
felt,O
it,O
was,O
wise,O
given,O
the,O
special,O
case,O
existing,O
because,O
of,O
the,O
Speedway.,O
Resolution,O
#2023,O
–,O
3,O
MOTION,O
by,O
Stephen,O
Grandeau,O
SECONDED,O
by,O
Ronald,O
Bormann,O
to,O
resolve,O
that,O
the,O
Malta,O
Planning,O
Board,O
on,O
the,O
28th,O
day,O
of,O
February,O
2023,O
approves,O
Project,O
"#23-03,",O
Dooley/Bass,O
"Manor,",O
Minor,O
"Subdivision,",O
with,O
the,O
following,O
conditions:,O
1.At,O
the,O
time,O
of,O
"sale,",O
the,O
deed,O
for,O
the,O
new,O
property,O
include,O
that,O
the,O
Albany-Saratoga,O
Speedway,O
neighbors,O
the,O
property,O
and,O
creates,O
dust,O
and,O
noise.VOTE:,O
Stephen,B-VOTE
Grandeau,I-VOTE
–,I-VOTE
YES,I-VOTE
Ronald,B-VOTE
Bormann,I-VOTE
–,I-VOTE
YES,I-VOTE
Frank,B-VOTE
Mazza,I-VOTE
-,I-VOTE
YES,I-VOTE
Dwight,B-VOTE
Havens,I-VOTE
–,I-VOTE
YES,I-VOTE
William,B-VOTE
Smith,I-VOTE
–,I-VOTE
YES,I-VOTE
Leejun,B-VOTE
Taylor,I-VOTE
–,I-VOTE
YES,I-VOTE
Jean,B-VOTE
Loewenstein,I-VOTE
-,I-VOTE
YES,I-VOTE
Motion,B-VOTE
CARRIED,I-VOTE
7-0,I-VOTE
"23-02,",B-PROJ
Sanctuary,I-PROJ
Salon,I-PROJ
",",I-PROJ
Form,I-PROJ
Based,I-PROJ
Code,I-PROJ
Project,I-PROJ
Plan,I-PROJ
Public,I-PROJ
Hearing,I-PROJ
The,O
"applicant,",O
Jeffrey,O
"Ramirez,",O
is,O
pursuing,O
Form-,O
Based,O
Code,O
Project,O
Plan,O
approval,O
for,O
renovating,O
the,O
former,O
Stewart’s,O
convenience,O
store,O
2505,O
Route,O
9,O
The,O
applicant,O
is,O
proposing,O
minor,O
site,O
improvements,O
consisting,O
of,O
landscaping,O
and,O
restriping,O
the,O
parking,O
lot.,O
Building,O
alterations,O
include,O
structural,O
"columns,",O
removing,O
the,O
existing,O
walk,O
in,O
"cooler,",O
new,O
windows,O
facing,O
Route,O
9,O
The,O
façade,O
will,O
be,O
whitewashed,O
with,O
black,O
accent,O
trim.,O
The,O
interior,O
will,O
be,O
renovated,O
to,O
accommodate,O
the,O
salon,O
with,O
10,O
salon,O
"station,",O
coloring,O
"station,",O
shampoo,O
"area,",O
"office,",O
and,O
ADA,O
accessible,O
restrooms.,O
Mike,O
Munter,O
presented,O
on,O
behalf,O
of,O
the,O
applicant,O
and,O
described,O
what,O
the,O
applicant,O
envisioned.,O
Huizinga,O
spoke,O
for,O
the,O
Planning,O
Department,O
and,O
reminded,O
the,O
Planning,O
Board,O
that,O
this,O
project,O
was,O
a,O
Form,O
Based,O
Code,O
project.,O
Huizinga,O
noted,O
that,O
FBC,O
projects,O
go,O
to,O
the,O
Planning,O
Board,O
for,O
their,O
"input,",O
but,O
do,O
not,O
receive,O
a,O
resolution,O
for,O
approval,O
from,O
the,O
Board,O
"itself,",O
FBC,O
projects,O
are,O
approved,O
administratively,O
by,O
the,O
Building,O
and,O
Planning,O
Coordinator.,O
Huizinga,O
noted,O
that,O
the,O
project,O
was,O
located,O
within,O
the,O
Downtown,O
Parade,O
Grounds,O
(DP-2),O
FBC,O
Zone.,O
Huizinga,O
also,O
noted,O
that,O
the,O
project,O
would,O
encompass,O
an,O
exterior,O
remodel,O
and,O
an,O
interior,O
fit-up,O
to,O
become,O
a,O
hair,O
